"id","term","slug","url","status","categories","synonyms","keywords","author","updated_at","image","image_alt","related_terms","internal_links","source_file"
"ankle-boots","Ankle Boots","ankle-boots","https://eskyna.com/glossar/ankle-boots/","published","Garderobe & Alltag","","ankle boots; was bedeutet ankle boots; ankle boots stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/ankle-boots.png","Editoriale Glossar-Grafik zu Ankle Boots mit ruhigen Farbfeldern und feiner Linienführung","Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/); Fehlkauf (https://eskyna.com/glossar/fehlkauf/)","https://eskyna.com/glossar/capsule-wardrobe/; https://eskyna.com/glossar/fehlkauf/; https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/glossar/key-piece/; https://eskyna.com/glossar/outfit-formel/; https://eskyna.com/stilgarderobe/","content/de/glossar/ankle-boots.md"
"anlassgarderobe","Anlassgarderobe","anlassgarderobe","https://eskyna.com/glossar/anlassgarderobe/","published","Garderobe & Alltag","","anlassgarderobe; garderobe für anlässe; outfits für anlässe; kleiderschrank planen","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/anlassgarderobe.png","Editoriale Grafik mit drei Outfit-Kapseln für Alltag, Business und Event","Dresscode (https://eskyna.com/glossar/dresscode/); Smart Casual (https://eskyna.com/glossar/smart-casual/); Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/)","https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/stilgarderobe/","content/de/glossar/anlassgarderobe.md"
"anthrazit","Anthrazit","anthrazit","https://eskyna.com/glossar/anthrazit/","published","Farb-Lexikon","","anthrazit kleidung; anthrazit kombinieren; dunkelgrau; neutrale farben","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/anthrazit.png","Editoriale Grafik zu Anthrazit mit Farbfeldern, Materialflächen und ruhigen Kombinationsakzenten","Grau (https://eskyna.com/glossar/grau/); Schwarz (https://eskyna.com/glossar/schwarz/); Navy (https://eskyna.com/glossar/navy/); Neutrale Farben (https://eskyna.com/glossar/neutrale-farben/); Kontrast (https://eskyna.com/glossar/kontrast/)","https://eskyna.com/glossar/kategorie/farb-lexikon/; https://eskyna.com/stilgefuehl/","content/de/glossar/anthrazit.md"
"anzughose","Anzughose","anzughose","https://eskyna.com/glossar/anzughose/","published","Garderobe & Alltag","","anzughose; was ist eine anzughose; anzughose kombinieren","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/anzughose.png","Editoriale Grafik zu Anzughose mit ruhigen Formen, Stofflinien und ESKYNA Farbwelt","Stoffhose (https://eskyna.com/glossar/stoffhose/); Bundfaltenhose (https://eskyna.com/glossar/bundfaltenhose/); Business Casual (https://eskyna.com/glossar/business-casual/); Blazer (https://eskyna.com/glossar/blazer/); Loafer (https://eskyna.com/glossar/loafer/)","https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/stilgarderobe/","content/de/glossar/anzughose.md"
"anzugjacke","Anzugjacke","anzugjacke","https://eskyna.com/glossar/anzugjacke/","published","Garderobe & Alltag","","anzugjacke; was bedeutet anzugjacke; anzugjacke stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/anzugjacke.png","Editoriale Glossar-Grafik zu Anzugjacke mit ruhigen Farbfeldern und feiner Linienführung","Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/); Fehlkauf (https://eskyna.com/glossar/fehlkauf/)","https://eskyna.com/glossar/capsule-wardrobe/; https://eskyna.com/glossar/fehlkauf/; https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/glossar/key-piece/; https://eskyna.com/glossar/outfit-formel/; https://eskyna.com/stilgarderobe/","content/de/glossar/anzugjacke.md"
"apricot-und-pfirsich","Apricot und Pfirsich","apricot-und-pfirsich","https://eskyna.com/glossar/apricot-und-pfirsich/","published","Farb-Lexikon","","apricot bedeutung; pfirsich farbe; apricot pfirsich unterschied","Natalia Kleemann","2026-07-18","https://eskyna.com/images/glossar/apricot-und-pfirsich.png","Glossar-Illustration zu Apricot und Pfirsich","Koralle (https://eskyna.com/glossar/koralle/); Puderrosa und Altrosa (https://eskyna.com/glossar/puderrosa-und-altrosa/); Creme (https://eskyna.com/glossar/creme/); Salbeigrün (https://eskyna.com/glossar/salbeigruen/)","https://eskyna.com/glossar/cognac/; https://eskyna.com/glossar/hellblau/","content/de/glossar/apricot-und-pfirsich.md"
"argyle-rautenmuster","Argyle/Rautenmuster","argyle-rautenmuster","https://eskyna.com/glossar/argyle-rautenmuster/","published","Farbberatung & Farbe","","argyle rautenmuster; was ist argyle/rautenmuster; argyle/rautenmuster","Natalia Kleemann","2026-07-18","https://eskyna.com/images/glossar/argyle-rautenmuster.png","Glossar-Illustration zu Argyle/Rautenmuster","","","content/de/glossar/argyle-rautenmuster.md"
"aermellaenge","Ärmellänge","aermellaenge","https://eskyna.com/glossar/aermellaenge/","published","Schnitt, Proportion & Passform","","ärmellänge; was bedeutet ärmellänge; ärmellänge stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/aermellaenge.png","Editoriale Glossar-Grafik zu Ärmellänge mit ruhigen Farbfeldern und feiner Linienführung","Passform (https://eskyna.com/glossar/passform/); Silhouette (https://eskyna.com/glossar/silhouette/); Proportion (https://eskyna.com/glossar/proportion/); Saumlänge (https://eskyna.com/glossar/saumlange/); Taillierung (https://eskyna.com/glossar/taillierung/)","https://eskyna.com/glossar/kategorie/schnitt-proportion-passform/; https://eskyna.com/glossar/passform/; https://eskyna.com/glossar/proportion/; https://eskyna.com/glossar/saumlange/; https://eskyna.com/glossar/silhouette/; https://eskyna.com/glossar/taillierung/; https://eskyna.com/stilfrage/","content/de/glossar/aermellaenge.md"
"armreif","Armreif","armreif","https://eskyna.com/glossar/armreif/","published","Materialien & Details","","armreif; was bedeutet armreif; armreif stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/armreif.png","Editoriale Glossar-Grafik zu Armreif mit ruhigen Farbfeldern und feiner Linienführung","Materialfall (https://eskyna.com/glossar/materialfall/); Struktur (https://eskyna.com/glossar/struktur/); Glanzgrad (https://eskyna.com/glossar/glanzgrad/); Accessoire (https://eskyna.com/glossar/accessoire/)","https://eskyna.com/glossar/accessoire/; https://eskyna.com/glossar/glanzgrad/; https://eskyna.com/glossar/kategorie/materialien-details/; https://eskyna.com/glossar/materialfall/; https://eskyna.com/glossar/struktur/; https://eskyna.com/stilfrage/","content/de/glossar/armreif.md"
"art-deco-evening-neo-deco","Art Deco Evening","art-deco-evening-neo-deco","https://eskyna.com/glossar/art-deco-evening-neo-deco/","published","Anlass & Dresscodes","","art deco evening bedeutung; neo deco styling; geometrischer glamour","Natalia Kleemann","2026-07-17","https://eskyna.com/images/glossar/art-deco-evening-neo-deco.png","Glossar-Illustration zu Art Deco Evening","Abendgarderobe (https://eskyna.com/glossar/abendgarderobe/); Samt (https://eskyna.com/glossar/samt/); Satin (https://eskyna.com/glossar/satin/); Metallic (https://eskyna.com/glossar/metallic/); Statement Schmuck (https://eskyna.com/glossar/statement-schmuck/)","https://eskyna.com/glossar/abendgarderobe/; https://eskyna.com/glossar/metallic/; https://eskyna.com/glossar/samt/; https://eskyna.com/glossar/satin/; https://eskyna.com/glossar/statement-schmuck/","content/de/glossar/art-deco-evening-neo-deco.md"
